name,address,tags,rate,ID,iamge_URL
배리어프리영화위원회,서울 중구 퇴계로36가길 21 204호 (근아빌딩),"['중구', '영화']",5.0,31812359,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230801_180%2F1690877817345gcmSb_PNG%2F%25C8%25B8%25BB%25E7_%25B7%25CE%25B0%25ED_png.png
대종상영화제 사무국,서울 중구 퇴계로 217 진양프라자 2동 4층,"['중구', '영화']",5.0,1427184857,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220422_90%2F16505989434315pjDF_JPEG%2F%25C7%25C1%25B7%25CE%25C7%25CA.jpg
프로덕션마스,서울 중구 마른내로2길 6 1층 Production MAS,"['중구', '영화']",5.0,1062806076,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230509_209%2F1683564719227yWgur_PNG%2F4X4_MAS_LOGO_.png
킬로,서울 중구 세종대로 14 502호,"['중구', '영화']",5.0,1585191402,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210930_170%2F1632970539497cefB3_JPEG%2F118601465_109361754140635_5367765042957619219_n.jpg
기대작,서울 중구 다산로20길 12,"['중구', '영화']",5.0,1005341925,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201231_233%2F1609395566896Umwv5_JPEG%2F5egPCswTpyROXNaL6evRdvXA.jpeg.jpg
가톨릭영화인협회,"서울 중구 명동길 80 6층 621호(명동2가, 가톨릭회관)","['중구', '영화']",5.0,37018288,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221012_86%2F1665541100682EXXAc_PNG%2Fcaff2022_logo.png
와이키키비디오,서울 중구 동호로17길 283 와이엘빌딩 A동 202호,"['중구', '영화']",5.0,1488902037,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191018_249%2F15713252032970Ygaf_PNG%2FdNDdV7bxKv9RegXLDukjLgyC.png
스마일픽쳐스,서울 중구 필동로 7-3 3층,"['중구', '영화']",5.0,37898321,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200912_76%2F1599916609143skxme_PNG%2F0ipmhJoYaNw88HVxazJ4oHUq.png
미디어필링,서울 중구 세종대로 14 532호,"['중구', '영화']",5.0,1052116938,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221025_70%2F1666708071678lU8Fm_JPEG%2Fphoto_2022-10-25_23.26.26.jpeg
엑시트팩토리,서울 중구 다산로 77 JK오피스텔,"['중구', '영화']",5.0,37578024,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160222_229%2F1456125295637S7B7m_JPEG%2F176167548568783_0.jpeg
을지영화관,서울 중구 을지로12길 5 동화빌딩 2층 203호,"['중구', '영화']",5.0,1744042182,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221025_33%2F1666681932004mn88R_JPEG%2FKakaoTalk_Photo_2022-10-25-16-07-04-6.jpeg
영화,서울 중구 남대문로 12 영화빌딩,"['중구', '영화']",5.0,1335788600,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200323_117%2F1584969584237Odk8Y_JPEG%2FRLnDQFMFtdaPa__Vg_oFIlJF.jpeg.jpg
한국영화무술액션아카데미,서울 중구 동호로24길 27-9,"['중구', '영화']",5.0,1676713530,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180131_33%2F15173300160755yPIt_JPEG%2F4UzOTKTYjUZuhKCOZ8puJycP.jpg
